"繰越ID","経理区分","年度","科目ID","前期繰越額","貸借区分"
6999,0,,167,\0,"借+"
7000,1,,167,\0,"借+"
7001,2,,167,\0,"借+"
7002,3,,167,\0,"借+"
7003,0,,168,\0,"借+"
7004,1,,168,\0,"借+"
7005,2,,168,\0,"借+"
7006,3,,168,\0,"借+"
7007,0,,169,\0,"借+"
7008,1,,169,\0,"借+"
7009,2,,169,\0,"借+"
7010,3,,169,\0,"借+"
7011,0,,170,\0,"借+"
7012,1,,170,\0,"借+"
7013,2,,170,\0,"借+"
7014,3,,170,\0,"借+"
7015,0,,171,\0,"借+"
7016,1,,171,\0,"借+"
7017,2,,171,\0,"借+"
7018,3,,171,\0,"借+"
7019,0,,172,\0,"貸+"
7020,1,,172,\0,"貸+"
7021,2,,172,\0,"貸+"
7022,3,,172,\0,"貸+"
7023,0,,173,\0,"貸+"
7024,1,,173,\0,"貸+"
7025,2,,173,\0,"貸+"
7026,3,,173,\0,"貸+"
7027,0,,174,\0,"借+"
7028,1,,174,\12285551,"借+"
7029,2,,174,\0,"借+"
7030,3,,174,\10190000,"借+"
7031,0,,175,\0,"借+"
7032,1,,175,\5000000,"借+"
7033,2,,175,\0,"借+"
7034,3,,175,\5200000,"借+"
7035,0,,176,\0,"貸+"
7036,1,,176,\12285551,"貸+"
7037,2,,176,\0,"貸+"
7038,3,,176,\10190000,"貸+"
7039,0,,177,\0,"貸+"
7040,1,,177,\5000000,"貸+"
7041,2,,177,\0,"貸+"
7042,3,,177,\5200000,"貸+"
7043,0,,187,\0,"借+"
7044,1,,187,\0,"借+"
7045,2,,187,\0,"借+"
7046,3,,187,\0,"借+"
7047,0,,188,\0,"借+"
7048,1,,188,\0,"借+"
7049,2,,188,\0,"借+"
7050,3,,188,\0,"借+"
7051,0,,189,\0,"借+"
7052,1,,189,\0,"借+"
7053,2,,189,\0,"借+"
7054,3,,189,\0,"借+"
7055,0,,190,\0,"借+"
7056,1,,190,\0,"借+"
7057,2,,190,\0,"借+"
7058,3,,190,\0,"借+"
7059,0,,191,\0,"借+"
7060,1,,191,\0,"借+"
